Case,Official Citation,Amendment,Verified,Good Law Status,Last Verified Date,Primary Source,Doctrinal Warning / Flag
Weeks v. United States,"Weeks v. United States, 232 U.S. 383 (1914)",Fourth Amendment,YES,Modified,2026-05-27,"Oyez, Justia, Cornell LII","Warning: The exclusionary rule established in Weeks was initially limited to federal proceedings but was later extended to state proceedings by Mapp v. Ohio, and has since seen various exceptions and limitations."
Mapp v. Ohio,"Mapp v. Ohio, 367 U.S. 643 (1961)",Fourth Amendment,YES,Narrowed,2026-05-27,"Cornell LII, Oyez, Justia","Warning: The exclusionary rule established by Mapp v. Ohio has been significantly limited by subsequent Supreme Court decisions, creating various exceptions to its application."
Nardone v. United States,"Nardone v. United States, 308 U.S. 338 (1939)",Fourth Amendment (via the 'fruit of the poisonous tree' doctrine),YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: While Nardone established the 'fruit of the poisonous tree' doctrine, its original basis was statutory (Communications Act of 1934), not directly the Fourth Amendment, though it heavily influenced Fourth Amendment jurisprudence."
Brinegar v. United States,"Brinegar v. United States, 338 U.S. 160 (1949)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia","Warning: Brinegar established a flexible probable cause standard for warrantless vehicle searches, but its application remains highly fact-specific and subject to evolving interpretations of reasonableness."
Carroll v. United States,"Carroll v. United States, 267 U.S. 132 (1925)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Cornell LII, Justia, Boston College Law Review","Warning: The automobile exception has been significantly expanded beyond its original exigency rationale, now also resting on a diminished expectation of privacy in vehicles, and has been extended to include passenger belongings."
Delaware v. Prouse,"Delaware v. Prouse, 440 U.S. 648 (1979)","Fourth Amendment, Fourteenth Amendment",YES,Still Good Law,2026-05-27,"Cornell LII, Oyez","Warning: The ruling does not preclude states from developing methods for spot checks that involve less intrusion or do not involve unconstrained discretion, such as roadblock-type stops."
Terry v. Ohio,"Terry v. Ohio, 392 U.S. 1 (1968)",Fourth Amendment,YES,Modified,2026-05-27,"Cornell LII, Oyez, Justia","Warning: While the core holding of Terry v. Ohio remains good law, its application and the scope of 'reasonable suspicion' have been significantly expanded and, in some interpretations, eroded by later Supreme Court decisions, leading to complex and nuanced interpretations in practice."
Hiibel v. Sixth Judicial District Court of Nevada,"Hiibel v. Sixth Judicial Dist. Court of Nev., 542 U.S. 177 (2004)","Fourth Amendment, Fifth Amendment",YES,Still Good Law,2026-05-27,Cornell LII,Warning: The Fifth Amendment privilege applies only if there is a reasonable belief that disclosure of identity would tend to incriminate the individual.
Pennsylvania v. Mimms,"Pennsylvania v. Mimms, 434 U.S. 106 (1977)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Justia, Oyez, Cornell LII","Warning: The ruling balances officer safety against a de minimis intrusion on personal liberty, and its principle has been extended to passengers."
Maryland v. Wilson,"Maryland v. Wilson, 519 U.S. 408 (1997)",Fourth Amendment,YES,Still Good Law,2026-05-27,Cornell LII,"Warning: The Court did not address whether an officer may forcibly detain a passenger for the entire duration of the stop, as that question was not presented by this case."
Arizona v. Johnson,"Arizona v. Johnson, 555 U.S. 323 (2009)",Fourth Amendment,YES,Still Good Law,2026-05-27,"Justia, Oyez","Warning: Officer inquiries into matters unrelated to a traffic stop do not convert the encounter into a consensual one, and patdown authority persists if there is reasonable suspicion the individual is armed and dangerous, provided the inquiries do not measurably extend the stop's duration."
