prime_contractor_type,prime_contractor_example,service_category,subcontract_opportunity,geographic_zone,estimated_subcontract_value,prime_contact_method,prime_requirements,prime_pathwy_capability_needed,opportunity_score,notes
Government Prime Contractor,Large janitorial firm (Sacramento County RFP winner),Janitorial Services - 56 locations,Subcontract for specific facility locations or specialty services,Sacramento County,Varies - $50K-$500K per location,Contact after award announcement via Sacramento County OpenGov,Insurance / bonding / background checks / HAZMAT training,Commercial janitorial / staffing / supplies,HIGH,Sacramento County RFP 2026-RFP-0003 will award Sept 2026. Prime will likely need subcontractors for 56 locations. Position now.
Government Prime Contractor,Large environmental firm (EPA Brownfields),Environmental Cleanup,Subcontract for debris removal and hauling,All 5 target counties,Varies - $50K-$500K per site,Partner with county redevelopment agencies,HAZWOPER certification / insurance / bonding,Debris removal / hazardous material handling / hauling,HIGH,EPA Brownfields grants fund cleanup. Prime environmental firms hire local haulers and debris removal contractors.
County Government (Direct),Alameda County GSA-BMD,Grounds Maintenance / Debris Removal,Prime contract for cemetery/grounds maintenance,Alameda County,Up to $117K per contract,Register on OpenGov; obtain SLEB certification,SLEB certification preferred / insurance,Grounds maintenance / debris removal / litter removal,HIGH,Pacheco Landscape SLEB cert expires 11/2026. Rebid opportunity.
County Government (Direct),Sacramento County DGS,Janitorial Services,Prime or subcontract for county facilities,Sacramento County,"$5M-$15M total; individual locations $50K-$500K",Register on OpenGov; respond to RFP or contact prime,Insurance / bonding / background checks,Commercial janitorial / staffing,CRITICAL,Active RFP - award Sept 2026. Highest value opportunity.
Property Management Company,Krystle Properties (Vallejo),Turnover Cleaning / Janitorial,Vendor contract for unit turnover and ongoing janitorial,Solano County (Vallejo),Varies - $500-$5K per turnover; ongoing retainer,Direct outreach to property manager,Insurance / reliability / references,Residential/commercial turnover cleaning / janitorial,HIGH,35-year established firm. Recurring revenue opportunity.
Property Management Company,Utopia PM (Vallejo),Turnover Cleaning / Janitorial / Maintenance,Vendor contract for unit turnover and maintenance,Solano County (Vallejo),Varies - ongoing retainer,Direct outreach - email northbay@utopiamanagement.com,Insurance / reliability / references,Residential/commercial turnover cleaning / maintenance,HIGH,National franchise with local office. Email available for direct outreach.
Property Management Company,Spectrum Properties (Vacaville),Commercial Janitorial / Facility Maintenance,Vendor contract for commercial portfolio,Solano County (Vacaville),Varies - $1K-$10K/month ongoing,Direct outreach to property manager,Insurance / commercial cleaning capability / references,Commercial janitorial / facility maintenance,HIGH,Commercial PM firm - industrial/retail/office portfolio.
Property Management Company,CMD Services (Sacramento),Commercial Janitorial / Facility Maintenance,Vendor contract for commercial portfolio,Sacramento County,Varies - $1K-$10K/month ongoing,Direct outreach to property manager,Insurance / commercial cleaning capability / references,Commercial janitorial / facility maintenance,HIGH,Full-service commercial PM. Explicitly coordinates vendors.
Property Management Company,KCM Commercial PM (Sacramento),Commercial Janitorial / Facility Maintenance / Vendor Coordination,Preferred vendor status,Sacramento County,Varies - ongoing,Direct outreach to property manager,Insurance / commercial cleaning / references,Commercial janitorial / facility maintenance,HIGH,Explicitly mentions vendor coordination in services.
Real Estate Agent / Bank,REO Asset Managers,Foreclosure Cleanout,Prime contract for REO property cleanout,All target counties,$300-$2,000 per property,Cold outreach to REO asset managers / banks,Insurance / bonding / fast turnaround,Foreclosure cleanout / junk removal / debris hauling,HIGH,REO market is active in NorCal. Banks and asset managers need reliable local cleanout vendors.
CalRecycle Grant Recipient,County Environmental Health Dept,Illegal Dumping Cleanup,Subcontract for cleanup work funded by CalRecycle grant,All 5 target counties,Up to $500K per grant,Partner with county environmental health departments,Insurance / bonding / waste disposal permits,Debris removal / solid waste cleanup / hauling,HIGH,County applies for grant; Prime Pathwy performs cleanup. Revenue from grant funds.
FEMA Disaster Response,FEMA / State/County Emergency Management,Debris Removal / Disaster Cleanup,Prime or subcontract for disaster cleanup,All target counties (disaster-declared areas),Varies - $10K-$1M+ per event,Register in SAM.gov Disaster Response Registry,SAM.gov registration / insurance / bonding / 24-7 availability,Debris removal / disaster cleanup / hauling,CRITICAL,Highest urgency - register NOW. LA Wildfire 2025 demonstrates scale of opportunity.
