content_id,filename,filepath,content_type,platform,priority,funnel_stage,tag_1,tag_2,word_count_estimate,status,publish_date,repurpose_to
PP-0001,linkedin_authority_001.md,Content_Archive/LinkedIn_Authority/linkedin_authority_001.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0002,linkedin_authority_002.md,Content_Archive/LinkedIn_Authority/linkedin_authority_002.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
PP-0003,linkedin_authority_003.md,Content_Archive/LinkedIn_Authority/linkedin_authority_003.md,Authority Narrative,LinkedIn,High,Consideration,AI-automation,contractor-management,800,Draft,,
PP-0004,linkedin_authority_004.md,Content_Archive/LinkedIn_Authority/linkedin_authority_004.md,Authority Narrative,LinkedIn,High,Conversion,contractor-management,compliance,800,Draft,,
PP-0005,linkedin_authority_005.md,Content_Archive/LinkedIn_Authority/linkedin_authority_005.md,Authority Narrative,LinkedIn,High,Retention,compliance,field-operations,800,Draft,,
PP-0006,linkedin_authority_006.md,Content_Archive/LinkedIn_Authority/linkedin_authority_006.md,Authority Narrative,LinkedIn,High,Awareness,field-operations,logistics,800,Draft,,
PP-0007,linkedin_authority_007.md,Content_Archive/LinkedIn_Authority/linkedin_authority_007.md,Authority Narrative,LinkedIn,High,Authority,logistics,leadership-framework,800,Draft,,
PP-0008,linkedin_authority_008.md,Content_Archive/LinkedIn_Authority/linkedin_authority_008.md,Authority Narrative,LinkedIn,High,Consideration,leadership-framework,execution-philosophy,800,Draft,,
PP-0009,linkedin_authority_009.md,Content_Archive/LinkedIn_Authority/linkedin_authority_009.md,Authority Narrative,LinkedIn,High,Conversion,execution-philosophy,business-process-audit,800,Draft,,
PP-0010,linkedin_authority_010.md,Content_Archive/LinkedIn_Authority/linkedin_authority_010.md,Authority Narrative,LinkedIn,High,Retention,business-process-audit,local-market-solano,800,Draft,,
PP-0011,linkedin_authority_011.md,Content_Archive/LinkedIn_Authority/linkedin_authority_011.md,Authority Narrative,LinkedIn,High,Awareness,local-market-solano,consulting-conversion,800,Draft,,
PP-0012,linkedin_authority_012.md,Content_Archive/LinkedIn_Authority/linkedin_authority_012.md,Authority Narrative,LinkedIn,High,Authority,consulting-conversion,authority-positioning,800,Draft,,
PP-0013,linkedin_authority_013.md,Content_Archive/LinkedIn_Authority/linkedin_authority_013.md,Authority Narrative,LinkedIn,High,Consideration,authority-positioning,NEPQ-persuasion,800,Draft,,
PP-0014,linkedin_authority_014.md,Content_Archive/LinkedIn_Authority/linkedin_authority_014.md,Authority Narrative,LinkedIn,High,Conversion,NEPQ-persuasion,sovereign-systems,800,Draft,,
PP-0015,linkedin_authority_015.md,Content_Archive/LinkedIn_Authority/linkedin_authority_015.md,Authority Narrative,LinkedIn,High,Retention,sovereign-systems,financial-operations,800,Draft,,
PP-0016,linkedin_authority_016.md,Content_Archive/LinkedIn_Authority/linkedin_authority_016.md,Authority Narrative,LinkedIn,High,Awareness,financial-operations,client-management,800,Draft,,
PP-0017,linkedin_authority_017.md,Content_Archive/LinkedIn_Authority/linkedin_authority_017.md,Authority Narrative,LinkedIn,High,Authority,client-management,SOP-architecture,800,Draft,,
PP-0018,linkedin_authority_018.md,Content_Archive/LinkedIn_Authority/linkedin_authority_018.md,Authority Narrative,LinkedIn,High,Consideration,SOP-architecture,CRM-workflows,800,Draft,,
PP-0019,linkedin_authority_019.md,Content_Archive/LinkedIn_Authority/linkedin_authority_019.md,Authority Narrative,LinkedIn,High,Conversion,CRM-workflows,lead-generation,800,Draft,,
PP-0020,linkedin_authority_020.md,Content_Archive/LinkedIn_Authority/linkedin_authority_020.md,Authority Narrative,LinkedIn,High,Retention,lead-generation,revenue-optimization,800,Draft,,
PP-0021,linkedin_authority_021.md,Content_Archive/LinkedIn_Authority/linkedin_authority_021.md,Authority Narrative,LinkedIn,High,Awareness,revenue-optimization,facility-management,800,Draft,,
PP-0022,linkedin_authority_022.md,Content_Archive/LinkedIn_Authority/linkedin_authority_022.md,Authority Narrative,LinkedIn,High,Authority,facility-management,property-management,800,Draft,,
PP-0023,linkedin_authority_023.md,Content_Archive/LinkedIn_Authority/linkedin_authority_023.md,Authority Narrative,LinkedIn,High,Consideration,property-management,industrial-services,800,Draft,,
PP-0024,linkedin_authority_024.md,Content_Archive/LinkedIn_Authority/linkedin_authority_024.md,Authority Narrative,LinkedIn,High,Conversion,industrial-services,workforce-deployment,800,Draft,,
PP-0025,linkedin_authority_025.md,Content_Archive/LinkedIn_Authority/linkedin_authority_025.md,Authority Narrative,LinkedIn,High,Retention,workforce-deployment,inspection-systems,800,Draft,,
PP-0026,linkedin_authority_026.md,Content_Archive/LinkedIn_Authority/linkedin_authority_026.md,Authority Narrative,LinkedIn,High,Awareness,inspection-systems,documentation-protocols,800,Draft,,
PP-0027,linkedin_authority_027.md,Content_Archive/LinkedIn_Authority/linkedin_authority_027.md,Authority Narrative,LinkedIn,High,Authority,documentation-protocols,KPI-frameworks,800,Draft,,
PP-0028,linkedin_authority_028.md,Content_Archive/LinkedIn_Authority/linkedin_authority_028.md,Authority Narrative,LinkedIn,High,Consideration,KPI-frameworks,accountability-systems,800,Draft,,
PP-0029,linkedin_authority_029.md,Content_Archive/LinkedIn_Authority/linkedin_authority_029.md,Authority Narrative,LinkedIn,High,Conversion,accountability-systems,AI-implementation,800,Draft,,
PP-0030,linkedin_authority_030.md,Content_Archive/LinkedIn_Authority/linkedin_authority_030.md,Authority Narrative,LinkedIn,High,Retention,AI-implementation,systems-thinking,800,Draft,,
PP-0031,linkedin_authority_031.md,Content_Archive/LinkedIn_Authority/linkedin_authority_031.md,Authority Narrative,LinkedIn,High,Awareness,systems-thinking,operational-efficiency,800,Draft,,
PP-0032,linkedin_authority_032.md,Content_Archive/LinkedIn_Authority/linkedin_authority_032.md,Authority Narrative,LinkedIn,High,Authority,operational-efficiency,AI-automation,800,Draft,,
PP-0033,linkedin_authority_033.md,Content_Archive/LinkedIn_Authority/linkedin_authority_033.md,Authority Narrative,LinkedIn,High,Consideration,AI-automation,contractor-management,800,Draft,,
PP-0034,linkedin_authority_034.md,Content_Archive/LinkedIn_Authority/linkedin_authority_034.md,Authority Narrative,LinkedIn,High,Conversion,contractor-management,compliance,800,Draft,,
PP-0035,linkedin_authority_035.md,Content_Archive/LinkedIn_Authority/linkedin_authority_035.md,Authority Narrative,LinkedIn,High,Retention,compliance,field-operations,800,Draft,,
PP-0036,linkedin_authority_036.md,Content_Archive/LinkedIn_Authority/linkedin_authority_036.md,Authority Narrative,LinkedIn,High,Awareness,field-operations,logistics,800,Draft,,
PP-0037,linkedin_authority_037.md,Content_Archive/LinkedIn_Authority/linkedin_authority_037.md,Authority Narrative,LinkedIn,High,Authority,logistics,leadership-framework,800,Draft,,
PP-0038,linkedin_authority_038.md,Content_Archive/LinkedIn_Authority/linkedin_authority_038.md,Authority Narrative,LinkedIn,High,Consideration,leadership-framework,execution-philosophy,800,Draft,,
PP-0039,linkedin_authority_039.md,Content_Archive/LinkedIn_Authority/linkedin_authority_039.md,Authority Narrative,LinkedIn,High,Conversion,execution-philosophy,business-process-audit,800,Draft,,
PP-0040,linkedin_authority_040.md,Content_Archive/LinkedIn_Authority/linkedin_authority_040.md,Authority Narrative,LinkedIn,High,Retention,business-process-audit,local-market-solano,800,Draft,,
PP-0041,linkedin_authority_041.md,Content_Archive/LinkedIn_Authority/linkedin_authority_041.md,Authority Narrative,LinkedIn,High,Awareness,local-market-solano,consulting-conversion,800,Draft,,
PP-0042,linkedin_authority_042.md,Content_Archive/LinkedIn_Authority/linkedin_authority_042.md,Authority Narrative,LinkedIn,High,Authority,consulting-conversion,authority-positioning,800,Draft,,
PP-0043,linkedin_authority_043.md,Content_Archive/LinkedIn_Authority/linkedin_authority_043.md,Authority Narrative,LinkedIn,High,Consideration,authority-positioning,NEPQ-persuasion,800,Draft,,
PP-0044,linkedin_authority_044.md,Content_Archive/LinkedIn_Authority/linkedin_authority_044.md,Authority Narrative,LinkedIn,High,Conversion,NEPQ-persuasion,sovereign-systems,800,Draft,,
PP-0045,linkedin_authority_045.md,Content_Archive/LinkedIn_Authority/linkedin_authority_045.md,Authority Narrative,LinkedIn,High,Retention,sovereign-systems,financial-operations,800,Draft,,
