Team,Conference,Division,2024_3rd_Down_Conv_Pct,2024_Red_Zone_TD_Pct,2025_Rest_Edge_Days,2025_Fatigue_Index_Rank,Home_ATS_Record_3yr,Away_ATS_Record_3yr,Div_ATS_Record_3yr,Post_Bye_ATS_Record,Short_Week_ATS_Record,Public_Bet_Favorite_Pct,Sharp_Fade_Value,Primary_Weather_Dome,Notes
San Francisco 49ers,NFC,West,50.00,67,+4,8,Verify,Verify,Verify,Verify,Verify,High,Yes — Levi's Stadium (open air),Elite 3rd down efficiency; Shanahan system
Green Bay Packers,NFC,North,48.18,63,+2,12,Verify,Verify,Verify,Verify,Verify,Medium,No — Lambeau Field,Cold weather home advantage; Jordan Love quick release
Buffalo Bills,AFC,East,46.44,61,+1,15,Verify,Verify,Verify,Verify,Verify,High,No — Highmark Stadium,Josh Allen dual-threat; cold weather home edge
LA Chargers,AFC,West,44.44,59,+3,10,Verify,Verify,Verify,Verify,Verify,Medium,Yes — SoFi Stadium,Harbaugh system; improved 3rd down management
Kansas City Chiefs,AFC,West,43.50,65,+5,6,Verify,Verify,Verify,Verify,Verify,Very High,Yes — Arrowhead (open air),Mahomes; public overvalues; sharp fades common
Dallas Cowboys,NFC,East,41.20,58,0,18,Verify,Verify,Verify,Verify,Verify,Very High,Yes — AT&T Stadium,Most public-bet team; sharp fade value high
Philadelphia Eagles,NFC,East,43.80,62,+2,11,Verify,Verify,Verify,Verify,Verify,High,No — Lincoln Financial Field,Physical team; cold weather edge
Detroit Lions,NFC,North,42.50,60,+13,2,Verify,Verify,Verify,Verify,Verify,Medium-High,No — Ford Field (dome),#1 rest edge 2025; ascending team
Miami Dolphins,AFC,East,41.00,57,+11,3,Verify,Verify,Verify,Verify,Verify,Medium,No — Hard Rock Stadium,High rest edge 2025; warm weather home advantage
Las Vegas Raiders,AFC,West,-19 rest disadvantage 2025,Verify,Verify,Verify,Verify,Verify,Verify,Low,No — Allegiant Stadium (dome),#1 rest disadvantage 2025; fade in rest-disadvantaged spots
Los Angeles Rams,NFC,West,42.00,61,+10,4,Verify,Verify,Verify,Verify,Verify,Medium,Yes — SoFi Stadium,High rest edge 2025; McVay system
NOTE: All ATS records marked Verify require manual data entry from Pro Football Reference,,,,,,,,,,,,,
