entity_name,entity_type,headquarters,county,target_cities,website,phone,email,executive_contact,operations_manager,facilities_manager,property_types_managed,estimated_portfolio_size,linkedin_presence,google_reviews,service_complaints,hiring_activity,growth_indicators,likely_subcontracting_needs,lead_priority,source_url,notes
Krystle Properties,Property Management,2101 Tennessee St Vallejo CA 94590,Solano,Vallejo / Solano County,https://www.krystleproperties.com/,(707) 554-6696,Unknown,Unknown,Unknown,Unknown,Residential and commercial,35+ years in business - large portfolio,Unknown,159 Yelp reviews,Unknown,Unknown,Established firm - stable,Janitorial / turnover cleaning / debris removal,HIGH,https://www.yelp.com/search?find_desc=Commercial+Property+Management&find_loc=Vallejo%2C+CA,"35-year established firm in Vallejo. Primary target for janitorial and turnover services. Direct outreach recommended."
Solano Property Management,Property Management,Fairfield CA,Solano,Fairfield / Vacaville / Vallejo / Solano County,https://www.solanopm.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Residential and commercial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / turnover / grounds maintenance,HIGH,https://www.solanopm.com/,"Solano County-focused PM firm. Covers all target Solano cities. Research direct contact info."
Spectrum Properties,Commercial Real Estate / Property Management,Vacaville CA,Solano,"Vacaville / Solano County / Vallejo",https://spectrumpropertiesre.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Commercial - industrial/retail/office,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / facility maintenance / commercial turnover,HIGH,https://spectrumpropertiesre.com/,"Full-service commercial PM in Solano County. Industrial/retail/office portfolio = high janitorial and maintenance needs."
Delta Realty Group Inc.,Property Management / Real Estate,1299 Oliver Rd Fairfield CA 94534,Solano,Fairfield / Suisun City,https://business.fairfieldsuisunchamber.com/list/member/delta-realty-group-inc-3576,(707) 425-3263,Unknown,Unknown,Unknown,Unknown,Residential rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Turnover cleaning / janitorial,MEDIUM,https://business.fairfieldsuisunchamber.com/list/category/real-estate-property-management-594,"Fairfield-based PM. Residential focus but turnover cleaning is recurring need."
GBA Realty,Property Management,880 Mitten Road Burlingame CA 94010,Bay Area,Bay Area including Solano County,https://www.gbagroups.com,Unknown,Unknown,Unknown,Unknown,Unknown,Residential and commercial,Bay Area wide,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / facility maintenance / turnover,MEDIUM,https://www.diamondcertified.org/report/gba-realty/,"Bay Area PM firm serving Solano County. Diamond Certified. Large portfolio = recurring service needs."
Utopia Property Management (Vallejo Office),Property Management,1209 Tennessee St Vallejo CA 94590,Solano,Vallejo / NorCal,https://utopiamanagement.com/office-location/vallejo,(707) 643-2373,northbay@utopiamanagement.com,Unknown,Unknown,Unknown,Residential and commercial,National franchise - large NorCal portfolio,Unknown,Unknown,Unknown,Unknown,National franchise growing,Janitorial / turnover / facility maintenance,HIGH,https://utopiamanagement.com/office-location/vallejo,"National PM franchise with Vallejo office. Large portfolio. Email available. Direct outreach recommended."
PMI Contra Costa (Walnut Creek),Property Management,Walnut Creek CA,Contra Costa,Walnut Creek / Concord / Contra Costa County,https://www.walnutcreekpropertymanagementinc.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Residential and commercial,Contra Costa County wide,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / turnover / facility maintenance,HIGH,https://www.walnutcreekpropertymanagementinc.com/,"Full-service PM in Walnut Creek/Concord area. Commercial and residential portfolio."
Astound Property Management,Property Management,Concord CA,Contra Costa,Concord / Walnut Creek / Contra Costa / Alameda,https://www.astoundpropertymanagement.com/,Unknown,Unknown,Unknown,Unknown,Unknown,Residential and commercial,Contra Costa and Alameda counties,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / turnover / facility maintenance,HIGH,https://www.astoundpropertymanagement.com/,"Serves Concord/Walnut Creek and Alameda County. Multi-county presence = larger portfolio."
Stokley Properties,Property Management,Walnut Creek CA,Contra Costa,Walnut Creek / Contra Costa County,https://stokleyproperties.net/,Unknown,Unknown,Unknown,Unknown,Unknown,Residential - leasing/management/maintenance,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Turnover cleaning / janitorial / maintenance,MEDIUM,https://stokleyproperties.net/,"Walnut Creek PM with maintenance services. Direct competitor in maintenance but also potential subcontracting partner."
CMD Services,Commercial Property Management,Sacramento CA,Sacramento,Sacramento / Sacramento County,https://cmdservices.net/,Unknown,Unknown,Unknown,Unknown,Unknown,Commercial - retail/office/industrial,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Janitorial / facility maintenance / commercial turnover,HIGH,https://cmdservices.net/,"Full-service commercial PM in Sacramento. Retail/office/industrial = high janitorial and maintenance needs."
