procurement_id,agency,contract_title,country,renewal_date,estimated_value,incumbent,prime_pathwy_priority,days_to_renewal,action_required
PROC-00597,California Department of Education (CDE),Custodial Services Contract — California Department of Education (CDE),US,2026-08-27,"$75,000–$150,000",Clean Harbors Inc.,HIGH — Prepare in 30 Days,89,Position NOW
PROC-01561,City of Vallejo — Purchasing Division,Professional Consulting Services — City of Vallejo,US,2026-08-27,"$10,000,000–$25,000,000",Parsons Corporation,HIGH — Prepare in 30 Days,89,Position NOW
PROC-01841,Province of British Columbia — BC Bid,Professional Consulting Services — Province of British Columbia,CA,2026-08-27,"$10,000,000–$25,000,000",Manpower Group,MEDIUM — 60-Day Pipeline,89,Position NOW
PROC-02048,Toronto Transit Commission (TTC) — Procurement,Grounds Maintenance & Landscaping Services — Toronto Transit Commission (TTC),CA,2026-08-27,"$5,000,000–$10,000,000",AECOM Technology Corp.,WATCH — 90+ Days,89,Position NOW
PROC-02532,City of Benicia — Finance Department,IT Infrastructure & Managed Services Contract — City of Benicia,US,2026-08-27,"$10,000,000–$25,000,000",Cintas Corporation,HIGH — Prepare in 30 Days,89,Position NOW
PROC-00507,Los Angeles Unified School District (LAUSD),Uniformed Security Guard Services — Los Angeles Unified School District (LAUSD),US,2026-08-28,"$25,000,000+",Recall Holdings,MEDIUM — 60-Day Pipeline,90,Monitor
PROC-00731,City of Vallejo — Purchasing Division,Environmental Compliance & Remediation Services — City of Vallejo,US,2026-08-28,"$150,000–$300,000",Aramark Corporation,WATCH — 90+ Days,90,Monitor
PROC-01762,Bay Area Rapid Transit (BART),Grounds Maintenance & Landscaping Services — Bay Area Rapid Transit (BART),US,2026-08-28,"$500,000–$1,000,000",Regional Service Provider,HIGH — Prepare in 30 Days,90,Monitor
PROC-02326,City of Atlanta — Department of Procurement,Professional Consulting Services — City of Atlanta,US,2026-08-28,"$300,000–$500,000",Aramark Corporation,MEDIUM — 60-Day Pipeline,90,Monitor
PROC-02595,Victorian Government — Tenders VIC,Environmental Compliance & Remediation Services — Victorian Government,AU,2026-08-28,"$5,000,000–$10,000,000",Cintas Corporation,WATCH — 90+ Days,90,Monitor
PROC-00144,AusTender — Australian Government Procurement,Transportation & Logistics Services — AusTender,AU,2026-08-29,"$25,000,000+",SAIC (Science Applications International Corp.),WATCH — 90+ Days,91,Monitor
PROC-01136,NASA — Procurement Division,Transportation & Logistics Services — NASA,US,2026-08-29,"$150,000–$300,000",Xerox Corporation,CRITICAL — Bid Now,91,Monitor
PROC-02857,California Department of Transportation (Caltrans),Public Works & Infrastructure Maintenance — California Department of Transportation (Caltrans),US,2026-08-29,"$75,000–$150,000",Regional Service Provider,HIGH — Prepare in 30 Days,91,Monitor
PROC-00976,City of Vancouver — Procurement Services,Temporary Staffing & Workforce Solutions — City of Vancouver,CA,2026-08-30,"$5,000,000–$10,000,000",CACI International,CRITICAL — Bid Now,92,Monitor
PROC-01265,US Army Corps of Engineers,Debris Removal & Waste Hauling Services — US Army Corps of Engineers,US,2026-08-30,"$2,500,000–$5,000,000",Regional Service Provider,WATCH — 90+ Days,92,Monitor
PROC-01571,San Francisco Municipal Transportation Agency (SFMTA),IT Infrastructure & Managed Services Contract — San Francisco Municipal Transportation Agency (SFMTA),US,2026-08-30,"$300,000–$500,000",ServiceMaster Clean,MEDIUM — 60-Day Pipeline,92,Monitor
PROC-01653,Province of British Columbia — BC Bid,Uniformed Security Guard Services — Province of British Columbia,CA,2026-08-30,"$25,000,000+",Securitas Security Services USA,WATCH — 90+ Days,92,Monitor
PROC-02117,City of Fairfield — Purchasing,AI & Process Automation Implementation Services — City of Fairfield,US,2026-08-30,"$1,000,000–$2,500,000",SAIC (Science Applications International Corp.),CRITICAL — Bid Now,92,Monitor
PROC-02253,US Postal Service (USPS) — Procurement,Facilities Maintenance & Repair Services — US Postal Service (USPS),US,2026-08-30,"$150,000–$300,000",Clean Harbors Inc.,HIGH — Prepare in 30 Days,92,Monitor
