week,date,day,platform,content_type,content_id_ref,topic_tag,funnel_stage,notes
1,2025-06-02,Monday,LinkedIn,LinkedIn Authority Post,PP-0001,systems-thinking,Awareness,Publish 8:00 AM PST
1,2025-06-04,Wednesday,LinkedIn,Operator Mindset Post,PP-0201,operational-efficiency,Authority,Publish 9:00 AM PST
1,2025-06-05,Thursday,Email/Substack,Long-Form Newsletter,PP-0401,AI-automation,Retention,Send 7:00 AM PST
1,2025-06-06,Friday,LinkedIn,Operational Breakdown,PP-0301,contractor-management,Consideration,Publish 10:00 AM PST
2,2025-06-09,Monday,LinkedIn,LinkedIn Authority Post,PP-0002,operational-efficiency,Authority,Publish 8:00 AM PST
2,2025-06-11,Wednesday,LinkedIn,Operator Mindset Post,PP-0202,AI-automation,Consideration,Publish 9:00 AM PST
2,2025-06-13,Friday,LinkedIn,Operational Breakdown,PP-0302,compliance,Conversion,Publish 10:00 AM PST
3,2025-06-16,Monday,LinkedIn,LinkedIn Authority Post,PP-0003,AI-automation,Consideration,Publish 8:00 AM PST
3,2025-06-18,Wednesday,LinkedIn,Operator Mindset Post,PP-0203,contractor-management,Conversion,Publish 9:00 AM PST
3,2025-06-20,Friday,LinkedIn,Operational Breakdown,PP-0303,field-operations,Retention,Publish 10:00 AM PST
4,2025-06-23,Monday,LinkedIn,LinkedIn Authority Post,PP-0004,contractor-management,Conversion,Publish 8:00 AM PST
4,2025-06-25,Wednesday,LinkedIn,Operator Mindset Post,PP-0204,compliance,Retention,Publish 9:00 AM PST
4,2025-06-27,Friday,LinkedIn,Operational Breakdown,PP-0304,logistics,Awareness,Publish 10:00 AM PST
5,2025-06-30,Monday,LinkedIn,LinkedIn Authority Post,PP-0005,compliance,Retention,Publish 8:00 AM PST
5,2025-07-02,Wednesday,LinkedIn,Operator Mindset Post,PP-0205,field-operations,Awareness,Publish 9:00 AM PST
5,2025-07-03,Thursday,Email/Substack,Long-Form Newsletter,PP-0402,logistics,Retention,Send 7:00 AM PST
5,2025-07-04,Friday,LinkedIn,Operational Breakdown,PP-0305,leadership-framework,Authority,Publish 10:00 AM PST
